Wyniki eksperymentów Part 2 — porównanie algorytmów AI
============================================================

Algorytm               Głęb.  Wariant                    G1  G2  Rem  Ruchy   Fail   Śr.czas/ruch
-------------------------------------------------------------------------------------------------
Negamax (α-β)          2      Deterministyczny           50   0    0    350      —         186 µs
Negamax (α-β)          2      Probabilistyczny (20% fail)  36  12    2    434     81         175 µs
Negamax (bez α-β)      2      Deterministyczny           50   0    0    350      —         372 µs
Negamax (bez α-β)      2      Probabilistyczny (20% fail)  36  12    2    434     81         388 µs
SSS*                   2      Deterministyczny           50   0    0    350      —         243 µs
SSS*                   2      Probabilistyczny (20% fail)  36  12    2    434     81         235 µs
Negamax (α-β)          6      Deterministyczny            0   0   50    450      —        5.01 ms
Negamax (α-β)          6      Probabilistyczny (20% fail)  20  10   20    419     76        6.25 ms
Negamax (bez α-β)      6      Deterministyczny            0   0   50    450      —      115.67 ms
Negamax (bez α-β)      6      Probabilistyczny (20% fail)  17  14   19    464     83      126.72 ms
SSS*                   6      Deterministyczny            0   0   50    450      —        6.54 ms
SSS*                   6      Probabilistyczny (20% fail)  17  14   19    464     83        7.33 ms

