algorytm,glebokosc,wariant,gracz1_wygrane,gracz2_wygrane,remisy,lacznie_ruchow,nieudane_ruchy,procent_nieudanych,sr_czas_ruch_s,czas_laczny_s,liczba_pomiarow
Negamax (α-β),2,Deterministyczny,50,0,0,350,,,0.000199,0.070,350
Negamax (α-β),2,Probabilistyczny (20% fail),36,12,2,434,81,18.7,0.000178,0.077,434
Negamax (bez α-β),2,Deterministyczny,50,0,0,350,,,0.000420,0.147,350
Negamax (bez α-β),2,Probabilistyczny (20% fail),36,12,2,434,81,18.7,0.000425,0.184,434
SSS*,2,Deterministyczny,50,0,0,350,,,0.000247,0.086,350
SSS*,2,Probabilistyczny (20% fail),36,12,2,434,81,18.7,0.000219,0.095,434
Negamax (α-β),6,Deterministyczny,0,0,50,450,,,0.004893,2.202,450
Negamax (α-β),6,Probabilistyczny (20% fail),20,10,20,419,76,18.1,0.006282,2.632,419
Negamax (bez α-β),6,Deterministyczny,0,0,50,450,,,0.104407,46.983,450
Negamax (bez α-β),6,Probabilistyczny (20% fail),17,14,19,464,83,17.9,0.118696,55.075,464
SSS*,6,Deterministyczny,0,0,50,450,,,0.006731,3.029,450
SSS*,6,Probabilistyczny (20% fail),17,14,19,464,83,17.9,0.007350,3.410,464
